uci_code,rider_name,nationality,date_of_birth
TPP,Mattia Gaffuri,ITA,1999-07-04
TPP,Chris Hamilton,AUS,1995-05-18
TPP,Fabio Jakobsen,NED,1996-08-31
TPP,Timo de Jong,NED,1999-03-28
TPP,James Knox,GBR,1995-11-04
TPP,Gijs Leemreize,NED,1999-10-23
TPP,Enzo Leijnse,NED,2001-07-16
TPP,Niklas Markl,GER,1999-03-03
TPP,Tim Naberman,NED,1999-05-11
TPP,Max Poole,GBR,2003-03-01
TPP,Timo Roosen,NED,1993-01-11
TPP,Julius van den Berg,NED,1996-10-23
TPP,Frank van den Broek,NED,2000-12-28
TPP,Casper van Uden,NED,2001-07-22
TPP,Bram Welten,NED,1997-03-29
TVL,Edoardo Affini,ITA,1996-06-24
TVL,Bruno Armirail,FRA,1994-04-11
TVL,Louis Barre,FRA,2000-04-06
TVL,Niklas Behrens,GER,2003-11-06
TVL,Matthew Brennan,GBR,2005-08-06
TVL,Victor Campenaerts,BEL,1991-10-28
TVL,Owain Doull,GBR,1993-05-02
TVL,Filippo Fiorelli,ITA,1994-11-19
TVL,Tijmen Graat,NED,2003-01-10
TVL,Per Strand Hagenes,NOR,2003-07-10
TVL,Menno Huising,NED,2004-04-08
TVL,Matteo Jorgenson,USA,1999-07-01
TVL,Wilco Kelderman,NED,1991-03-25
TVL,Timo Kielich,BEL,1999-08-05
TVL,Steven Kruijswijk,NED,1987-06-07
TVL,Sepp Kuss,USA,1994-09-13
TVL,Christophe Laporte,FRA,1992-12-11
TVL,Bart Lemmen,NED,1995-10-14
TVL,Jorgen Nordhagen,NOR,2005-01-10
TVL,Pietro Mattio,ITA,2004-06-27
TVL,Davide Piganzoli,ITA,2002-07-08
TVL,Tim Rex,BEL,2004-04-11
TVL,Anton Schiffer,GER,1999-09-01
TVL,Ben Tulett,GBR,2001-08-26
TVL,Wout van Aert,BEL,1994-09-15
TVL,Loe van Belle,NED,2002-01-24
TVL,Jonas Vingegaard,DEN,1996-12-10
TVL,Axel Zingle,FRA,1998-12-18
UAD,Joao Almeida,POR,1998-08-05
UAD,Igor Arrieta,ESP,2002-12-08
UAD,Filippo Baroncini,ITA,2000-08-26
UAD,Mikkel Bjerg,DEN,1998-11-03
UAD,Jan Christen,SUI,2004-06-26
UAD,Benoit Cosnefroy,FRA,1995-10-17
UAD,Isaac del Toro,MEX,2003-11-27
UAD,Luca Giaimi,ITA,2005-01-12
